ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	
FAK08434	gm24385_180807DNA2f	HG002	10001	6259	0	10099	5935	1000	590	347	237	187	154	145	138	105	99	84	89	69	52	58	49	797	639	508	439	381	255	195	151	168	132	
FAK08435	gm24385_180807DNA2d	HG002	73397	7158	0	795.433	67263	3381	831	390	210	166	168	131	96	89	84	68	51	45	44	24	33	3417	3388	3407	3301	3388	2659	2579	2451	2292	2255	
FAK19060	GM24385_B2_run4	HG002	92650	66411	0	14675.4	48830	11055	6509	4096	2986	2368	1969	1598	1335	1121	969	884	790	631	622	526	500	7963	6260	4793	3463	2538	1886	1402	1140	911	674	
FAK19137	GM24385_B2_run6	HG002	76710	62779	0	19228.2	34477	9790	6226	4044	3115	2439	1953	1637	1366	1223	1026	867	784	661	595	526	505	6991	5116	3854	2658	2036	1421	1043	688	589	398	
FAK19199	GM24385_B2_run10	HG002	56967	41511	0	13401.2	30244	6856	4195	2425	1684	1323	1091	895	702	615	551	479	422	367	383	315	292	4825	3789	2852	2124	1604	1106	840	687	559	427	
FAK19308	GM24385_B2_run11	HG002	162322	132666	0	18539.1	73187	22013	13962	8939	6634	5199	4181	3330	2845	2296	2067	1702	1519	1335	1181	982	918	15075	11141	8497	5982	4234	2857	2070	1530	1097	879	
FAK19443	GM24385_B2_run12	HG002	1641	1422	0	17191.6	723	229	160	113	73	67	47	27	24	25	15	17	14	5	14	12	11	155	131	105	76	42	27	28	15	17	9	
FAK19763	GM24385_B2_run5	HG002	133883	106795	0	16745.7	62829	17802	11256	7053	5012	3866	3199	2497	2102	1795	1557	1333	1144	992	882	791	747	11936	9073	6922	4920	3474	2504	1838	1377	1077	740	
FAK20301	GM24385_B2_run9	HG002	297898	258921	0	15341.2	135871	45550	29452	18900	13691	10025	7632	5914	4845	3804	3179	2550	2177	1823	1516	1364	1160	29670	21983	16385	11475	7887	5471	3887	2637	1871	1371	
FAK20305	GM24385_B2_run7	HG002	97865	77417	0	16131.4	47199	12931	7917	4813	3459	2635	2148	1816	1448	1235	1045	857	782	746	654	544	521	8367	6269	4804	3597	2459	1867	1362	1045	693	599	
